"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","log_quality","qualityPredicted","qualityPredictedRaw"
"52",6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,"0","0",0.0239035214800212
"53",6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,"0","0",0.0266128426006146
"54",8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,"0","0",0.0355128848793906
"55",7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,"0","0",0.0541087141191995
"56",7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5,"0","0",0.0135303121121004
"57",10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,"0","0",0.043649357446442
"58",7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5,"0","0",0.0216796378475637
"59",7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,"0","0",0.0292185334832556
"60",7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,"0","0",0.0324304704676985
"61",8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,"0","0",0.0329283427224698
"62",7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,"0","0",0.013144469683313
"63",7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7,"1","0",0.0257134612744088
"64",7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,"0","0",0.0125272300015682
"65",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,"0","0",0.024519821563097
"66",7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,"0","0",0.024519821563097
"67",7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5,"0","0",0.0256388242748318
"68",6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,"0","0",0.035300968902585
"69",9.3,0.32,0.57,2,0.074,27,65,0.9969,3.28,0.79,10.7,5,"0","0",0.241923305862901
"70",8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,"0","0",0.0724534583248498
"71",7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6,"0","0",0.0133163120225791
"72",7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5,"0","0",0.00966601507720324
"73",7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,"0","0",0.00889235716592521
"74",8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,"0","0",0.00797745577577408
"75",9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,5,"0","0",0.102201517231557
"76",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,"0","0",0.113054160914617
"77",8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,"0","0",0.113054160914617
"78",6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,"0","0",0.0236016607328831
"79",6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,"0","0",0.0139565851335057
"80",8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,"0","0",0.0398189685852182
"81",6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,"0","0",0.021924263683964
"82",7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5,"0","0",0.161876219241498
"83",7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,"0","0",0.0165716696392092
"84",7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5,"0","0",0.0466196824732679
"85",6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,"0","0",0.184364603559668
"86",6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,"0","0",0.0379024237304908
"87",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,"0","0",0.585442176050799
"88",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,"0","0",0.0337086679839495
"89",9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,"0","0",0.177877677290061
"90",7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,"0","0",0.00821831266490775
"91",7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,"0","0",0.0209954005965916
"92",8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,"0","0",0.585442176050799
"93",8.6,0.49,0.29,2,0.11,19,133,0.9972,2.93,1.98,9.8,5,"0","0",0.579859255732152
"94",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,"0","0",0.0337086679839495
"95",5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,"0","0",0.00608917181214758
"96",4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,6,"0","0",0.355117959291058
"97",6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,"0","0",0.0252216255572876
"98",7,0.5,0.25,2,0.07,3,22,0.9963,3.25,0.63,9.2,5,"0","0",0.0213127641463449
"99",7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,"0","0",0.00613325684172597
"100",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,"0","0",0.0131031455610519
"101",8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,"0","0",0.0344216239657044
"102",7.8,0.5,0.3,1.9,0.075,8,22,0.9959,3.31,0.56,10.4,6,"0","0",0.0573753105353452
"103",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,"0","0",0.0131031455610519
"104",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,"0","0",0.0114983421313814
"105",7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,"0","0",0.0184807887885894
"106",8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,"0","0",0.0114983421313814
"107",7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,"0","0",0.170358553741369
"108",6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,"0","0",0.0206663467207591
"109",8,0.33,0.53,2.5,0.091,18,80,0.9976,3.37,0.8,9.6,6,"0","0",0.093894231890083
"110",8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,5,"0","0",0.00840588980642897
"111",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,"0","0",0.0474767330272591
"112",8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5,"0","0",0.0253430431248126
"113",8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5,"0","0",0.0275082285149866
"114",10.1,0.31,0.44,2.3,0.08,22,46,0.9988,3.32,0.67,9.7,6,"0","0",0.0817164732664035
"115",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5,"0","0",0.0474767330272591
"116",9.4,0.4,0.31,2.2,0.09,13,62,0.9966,3.07,0.63,10.5,6,"0","0",0.109521041803042
"117",8.3,0.54,0.28,1.9,0.077,11,40,0.9978,3.39,0.61,10,6,"0","0",0.0376552472112368
"118",7.8,0.56,0.12,2,0.082,7,28,0.997,3.37,0.5,9.4,6,"0","0",0.0145543886012979
"119",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,"0","0",0.0830311823262595
"120",7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,6,"0","0",0.00768830299355318
"121",7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5,"0","0",0.0013804329493326
"122",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6,"0","0",0.0830311823262595
"123",7.3,0.695,0,2.5,0.075,3,13,0.998,3.49,0.52,9.2,5,"0","0",0.0071513723354552
"124",8,0.71,0,2.6,0.08,11,34,0.9976,3.44,0.53,9.5,5,"0","0",0.00930253717759517
"125",7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5,"0","0",0.0195759257340291
"126",9,0.62,0.04,1.9,0.146,27,90,0.9984,3.16,0.7,9.4,5,"0","0",0.0189102350528217
"127",8.2,1.33,0,1.7,0.081,3,12,0.9964,3.53,0.49,10.9,5,"0","0",0.00254464103661983
"128",8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5,"0","0",0.00247963654379023
"129",8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,7,"1","0",0.10496378059552
"130",6.1,0.38,0.15,1.8,0.072,6,19,0.9955,3.42,0.57,9.4,5,"0","0",0.0364122563334186
"131",8,0.745,0.56,2,0.118,30,134,0.9968,3.24,0.66,9.4,5,"0","0",0.0101607310351327
"132",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,"0","0",0.500755717942952
"133",5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,5,"0","0",0.500755717942952
"134",6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,6,"0","0",0.0338331909270015
"135",7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,6,"0","0",0.00367519719208079
"136",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,"0","0",0.0186633712029081
"137",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,"0","0",0.0168477507289595
"138",7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5,"0","0",0.0309755252792024
"139",7.8,0.56,0.19,2.1,0.081,15,105,0.9962,3.33,0.54,9.5,5,"0","0",0.0177991923024149
"140",7.8,0.56,0.19,2,0.081,17,108,0.9962,3.32,0.54,9.5,5,"0","0",0.0177991923024149
"141",8.4,0.745,0.11,1.9,0.09,16,63,0.9965,3.19,0.82,9.6,5,"0","0",0.0186633712029081
"142",8.3,0.715,0.15,1.8,0.089,10,52,0.9968,3.23,0.77,9.5,5,"0","0",0.0168477507289595
"143",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,"0","1",0.890866449406516
"144",6.3,0.39,0.08,1.7,0.066,3,20,0.9954,3.34,0.58,9.4,5,"0","0",0.035849499711421
"145",5.2,0.34,0,1.8,0.05,27,63,0.9916,3.68,0.79,14,6,"0","1",0.890866449406516
"146",8.1,0.67,0.55,1.8,0.117,32,141,0.9968,3.17,0.62,9.4,5,"0","0",0.0125300665203785
"147",5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,5,"0","0",0.0168929859735202
"148",7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5,"0","0",0.0375796406354019
"149",6.9,0.49,0.1,2.3,0.074,12,30,0.9959,3.42,0.58,10.2,6,"0","0",0.0518262319010731
"150",8.2,0.4,0.44,2.8,0.089,11,43,0.9975,3.53,0.61,10.5,6,"0","0",0.104562418783787
"151",7.3,0.33,0.47,2.1,0.077,5,11,0.9958,3.33,0.53,10.3,6,"0","0",0.0943254838656245
"152",9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,4,"0","0",0.4612338264078
"153",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,"0","0",0.0272698014664128
"154",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5,"0","0",0.0272698014664128
"155",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,"0","0",0.120419332878299
"156",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,"0","0",0.11769845949739
"157",7.1,0.43,0.42,5.5,0.07,29,129,0.9973,3.42,0.72,10.5,5,"0","0",0.120419332878299
"158",7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,5,"0","0",0.11769845949739
"159",7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5,"0","0",0.00799257016052715
"160",6.8,0.6,0.18,1.9,0.079,18,86,0.9968,3.59,0.57,9.3,6,"0","0",0.0133499951968546
"161",7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,5,"0","0",0.00407028112690566
"162",7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4,"0","0",0.0317583713125096
"163",7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10,6,"0","0",0.0346059127171311
"164",7.4,0.6,0.26,7.3,0.07,36,121,0.9982,3.37,0.49,9.4,5,"0","0",0.0120144986317185
"165",7.3,0.59,0.26,7.2,0.07,35,121,0.9981,3.37,0.49,9.4,5,"0","0",0.0125246671456811
"166",7.8,0.63,0.48,1.7,0.1,14,96,0.9961,3.19,0.62,9.5,5,"0","0",0.0163375345690401
"167",6.8,0.64,0.1,2.1,0.085,18,101,0.9956,3.34,0.52,10.2,5,"0","0",0.0242726137324558
"168",7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,4,"0","0",0.00967838344629564
"169",6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6,"0","0",0.0331715472368076
"170",7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5,"0","0",0.130432798294069
"171",7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4,"0","0",0.00178434056288098
"172",8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,"0","0",0.0281413046808065
"173",8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,6,"0","0",0.0281413046808065
"174",7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6,"0","0",0.102506745696484
"175",7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,"0","0",0.0312375603893961
"176",6.9,0.5,0.04,1.5,0.085,19,49,0.9958,3.35,0.78,9.5,5,"0","0",0.0416703627298662
"177",7.3,0.38,0.21,2,0.08,7,35,0.9961,3.33,0.47,9.5,5,"0","0",0.0312375603893961
"178",7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6,"0","0",0.0658192517998016
"179",7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,5,"0","0",0.00746913230173363
"180",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,"0","0",0.0164403267255878
"181",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5,"0","0",0.0164403267255878
"182",8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,5,"0","0",0.0400221462316154
"183",7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,5,"0","0",0.00682818436714664
"184",6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5,"0","0",0.0131388090767041
"185",6.7,0.62,0.21,1.9,0.079,8,62,0.997,3.52,0.58,9.3,6,"0","0",0.012603943956474
"186",8.9,0.31,0.57,2,0.111,26,85,0.9971,3.26,0.53,9.7,5,"0","0",0.0582799827140186
"187",7.4,0.39,0.48,2,0.082,14,67,0.9972,3.34,0.55,9.2,5,"0","0",0.0273496403763471
"188",7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5,"0","0",0.0104642969563293
"189",7.9,0.5,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5,"0","0",0.0233829998244321
"190",7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5,"0","0",0.0243640015841089
"191",8.2,0.5,0.35,2.9,0.077,21,127,0.9976,3.23,0.62,9.4,5,"0","0",0.0253012774442023
"192",6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,"0","0",0.0629266709830512
"193",6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5,"0","0",0.0159258074821636
"194",7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,"0","0",0.0231797797046352
"195",7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5,"0","0",0.0231797797046352
"196",7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,"0","0",0.0142346724778383
"197",7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5,"0","0",0.0369827218637489
"198",11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6,"0","0",0.232238420348693
"199",5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7,"1","0",0.302237026069638
"200",6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4,"0","0",0.00982960884047352
"201",9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7,"1","0",0.187325044812646
"202",8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5,"0","0",0.105168087299666
"203",6.8,0.5,0.11,1.5,0.075,16,49,0.99545,3.36,0.79,9.5,5,"0","0",0.0427187668136363
"204",7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5,"0","0",0.0241829186880472
"205",7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6,"0","0",0.0238044990123945
"206",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,"1","0",0.267164465240395
"207",12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7,"1","0",0.267164465240395
"208",7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5,"0","0",0.013650116281221
"209",7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,5,"0","0",0.03665205814264
"210",11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7,"1","0",0.263850761019349
"211",9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6,"0","0",0.467215505219881
"212",8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6,"0","0",0.0155272545827753
"213",11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6,"0","0",0.0785188017765307
"214",8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5,"0","0",0.023353224770986
"215",7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6,"0","0",0.0179148945517076
"216",7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5,"0","0",0.105523142354771
"217",8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5,"0","0",0.0632888247881249
"218",8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5,"0","0",0.00616587321136682
"219",7.5,0.49,0.19,1.9,0.076,10,44,0.9957,3.39,0.54,9.7,5,"0","0",0.0289066639756098
"220",7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5,"0","0",0.0234609184354704
"221",7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6,"0","0",0.044982212308315
"222",7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5,"0","0",0.0196989442174501
"223",6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5,"0","0",0.0168651276208651
"224",8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,"0","0",0.0239179178318766
"225",8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,0.57,10.4,4,"0","0",0.0341748023148118
"226",7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,"0","0",0.086933605391476
"227",8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6,"0","0",0.204065818449863
"228",9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5,"0","0",0.0102572695587663
"229",7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6,"0","0",0.086933605391476
"230",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,"0","0",0.0806024184847312
"231",5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7,"1","0",0.321908295584337
"232",8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,"0","0",0.0520777864604642
"233",8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6,"0","0",0.0632794416805666
"234",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5,"0","0",0.0806024184847312
